Year,Entidad_federativa,Municipio,GeoCode,Value
2008,Estados Unidos Mexicanos,,0,49.01687985
2008,Aguascalientes,,1,45.33053796
2008,Aguascalientes,Aguascalientes,1001,
2008,Aguascalientes,Asientos,1002,
2008,Aguascalientes,Calvillo,1003,
2008,Aguascalientes,Cosío,1004,
2008,Aguascalientes,Jesús María,1005,
2008,Aguascalientes,Pabellón de Arteaga,1006,
2008,Aguascalientes,Rincón de Romos,1007,
2008,Aguascalientes,San José de Gracia,1008,
2008,Aguascalientes,Tepezalá,1009,
2008,Aguascalientes,El Llano,1010,
2008,Aguascalientes,San Francisco de los Romo,1011,
2008,Baja California,,2,31.3674878
2008,Baja California,Ensenada,2001,
2008,Baja California,Mexicali,2002,
2008,Baja California,Tecate,2003,
2008,Baja California,Tijuana,2004,
2008,Baja California,Playas de Rosarito,2005,
2008,Baja California,San Quintín,2006,
2008,Baja California Sur,,3,26.04216101
2008,Baja California Sur,Comondú,3001,
2008,Baja California Sur,Mulegé,3002,
2008,Baja California Sur,La Paz,3003,
2008,Baja California Sur,Los Cabos,3008,
2008,Baja California Sur,Loreto,3009,
2008,Campeche,,4,50.49401625
2008,Campeche,Calkiní,4001,
2008,Campeche,Campeche,4002,
2008,Campeche,Carmen,4003,
2008,Campeche,Champotón,4004,
2008,Campeche,Hecelchakán,4005,
2008,Campeche,Hopelchén,4006,
2008,Campeche,Palizada,4007,
2008,Campeche,Tenabo,4008,
2008,Campeche,Escárcega,4009,
2008,Campeche,Calakmul,4010,
2008,Campeche,Candelaria,4011,
2008,Coahuila de Zaragoza,,5,45.25487971
2008,Coahuila de Zaragoza,Abasolo,5001,
2008,Coahuila de Zaragoza,Acuña,5002,
2008,Coahuila de Zaragoza,Allende,5003,
2008,Coahuila de Zaragoza,Arteaga,5004,
2008,Coahuila de Zaragoza,Candela,5005,
2008,Coahuila de Zaragoza,Castaños,5006,
2008,Coahuila de Zaragoza,Cuatro Ciénegas,5007,
2008,Coahuila de Zaragoza,Escobedo,5008,
2008,Coahuila de Zaragoza,Francisco I. Madero,5009,
2008,Coahuila de Zaragoza,Frontera,5010,
2008,Coahuila de Zaragoza,General Cepeda,5011,
2008,Coahuila de Zaragoza,Guerrero,5012,
2008,Coahuila de Zaragoza,Hidalgo,5013,
2008,Coahuila de Zaragoza,Jiménez,5014,
2008,Coahuila de Zaragoza,Juárez,5015,
2008,Coahuila de Zaragoza,Lamadrid,5016,
2008,Coahuila de Zaragoza,Matamoros,5017,
2008,Coahuila de Zaragoza,Monclova,5018,
2008,Coahuila de Zaragoza,Morelos,5019,
2008,Coahuila de Zaragoza,Múzquiz,5020,
2008,Coahuila de Zaragoza,Nadadores,5021,
2008,Coahuila de Zaragoza,Nava,5022,
2008,Coahuila de Zaragoza,Ocampo,5023,
2008,Coahuila de Zaragoza,Parras,5024,
2008,Coahuila de Zaragoza,Piedras Negras,5025,
2008,Coahuila de Zaragoza,Progreso,5026,
2008,Coahuila de Zaragoza,Ramos Arizpe,5027,
2008,Coahuila de Zaragoza,Sabinas,5028,
2008,Coahuila de Zaragoza,Sacramento,5029,
2008,Coahuila de Zaragoza,Saltillo,5030,
2008,Coahuila de Zaragoza,San Buenaventura,5031,
2008,Coahuila de Zaragoza,San Juan de Sabinas,5032,
2008,Coahuila de Zaragoza,San Pedro,5033,
2008,Coahuila de Zaragoza,Sierra Mojada,5034,
2008,Coahuila de Zaragoza,Torreón,5035,
2008,Coahuila de Zaragoza,Viesca,5036,
2008,Coahuila de Zaragoza,Villa Unión,5037,
