Year,Series,Sexo,Grupo de edad,Entidad federativa,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas,GeoCode,Value
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.77346101
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.89057182
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.59975691
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.63368337
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.70121331
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.88398554
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.29505674
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.06097142
2020,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.46807072
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.88433914
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02258087
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.69759949
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.63545307
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.41164456
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.46601424
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.06842875
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.85990945
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.88655804
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.78332193
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95868612
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55654467
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.07396349
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22176839
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87930725
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74097283
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.62376135
2016,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.96657061
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,Estados Unidos Mexicanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.81093119
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,36.46408017
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Asientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Calvillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Cosío,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Jesús María,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Pabellón de Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Rincón de Romos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,San José de Gracia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,Tepezalá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,El Llano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,San Francisco de los Romo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,Baja California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,30.01168274
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,,Ensenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,
2018,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico",,,,,Mexicali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,
