Year,Entidad_federativa,GeoCode,Value
2019,Estados Unidos Mexicanos,0,34.16066
2019,Aguascalientes,1,12.15067
2019,Baja California,2,32.58893
2019,Baja California Sur,3,43.3526
2019,Campeche,4,10.96611
2019,Coahuila de Zaragoza,5,25.16308
2019,Colima,6,29.77298
2019,Chiapas,7,42.78075
2019,Chihuahua,8,48.79969
2019,Ciudad de México,9,36.11375
2019,Durango,10,66.65334
2019,Guanajuato,11,24.75554
2019,Guerrero,12,56.43423
2019,Hidalgo,13,24.76709
2019,Jalisco,14,39.09946
2019,México,15,35.41465
2019,Michoacán de Ocampo,16,41.04942
2019,Morelos,17,8.79688
2019,Nayarit,18,39.29445
2019,Nuevo León,19,25.20363
2019,Oaxaca,20,39.56659
2019,Puebla,21,27.81399
2019,Querétaro,22,24.09897
2019,Quintana Roo,23,46.12055
2019,San Luis Potosí,24,31.51024
2019,Sinaloa,25,29.2148
2019,Sonora,26,25.8167
2019,Tabasco,27,38.36808
2019,Tamaulipas,28,23.72404
2019,Tlaxcala,29,49.1752
2019,Veracruz de Ignacio de la Llave,30,34.41625
2019,Yucatán,31,21.62563
2019,Zacatecas,32,29.20561
2018,Estados Unidos Mexicanos,0,34.55469
2018,Aguascalientes,1,23.62391
2018,Baja California,2,33.66537
2018,Baja California Sur,3,25.2419
2018,Campeche,4,33.65681
2018,Coahuila de Zaragoza,5,36.9324
2018,Colima,6,14.81372
2018,Chiapas,7,62.31426
2018,Chihuahua,8,52.31311
2018,Ciudad de México,9,34.49533
2018,Durango,10,53.43559
2018,Guanajuato,11,20.75419
2018,Guerrero,12,33.10053
2018,Hidalgo,13,26.68446
2018,Jalisco,14,29.98501
2018,México,15,32.41696
2018,Michoacán de Ocampo,16,37.62958
2018,Morelos,17,20.7894
2018,Nayarit,18,57.73416
2018,Nuevo León,19,32.12193
2018,Oaxaca,20,51.43445
2018,Puebla,21,30.33597
2018,Querétaro,22,30.81822
2018,Quintana Roo,23,44.13387
2018,San Luis Potosí,24,15.20285
2018,Sinaloa,25,43.87119
2018,Sonora,26,22.44577
2018,Tabasco,27,30.92367
2018,Tamaulipas,28,29.85309
2018,Tlaxcala,29,25.31646
2018,Veracruz de Ignacio de la Llave,30,27.41729
2018,Yucatán,31,52.64697
2018,Zacatecas,32,31.21856
2017,Estados Unidos Mexicanos,0,34.95725
2017,Aguascalientes,1,22.10026
2017,Baja California,2,41.29129
2017,Baja California Sur,3,7.25321
2017,Campeche,4,27.96108
2017,Coahuila de Zaragoza,5,38.64259
2017,Colima,6,7.34268
2017,Chiapas,7,50.81185
2017,Chihuahua,8,52.18611
2017,Ciudad de México,9,35.34912
2017,Durango,10,29.18345
2017,Guanajuato,11,34.53128
2017,Guerrero,12,61.34114
2017,Hidalgo,13,33.61093
2017,Jalisco,14,30.50706
2017,México,15,34.01074
2017,Michoacán de Ocampo,16,33.86234
2017,Morelos,17,26.03319
2017,Nayarit,18,34.44416
2017,Nuevo León,19,27.12615
2017,Oaxaca,20,53.94739
2017,Puebla,21,28.87739
2017,Querétaro,22,20.14657
2017,Quintana Roo,23,31.40375
2017,San Luis Potosí,24,35.90058
2017,Sinaloa,25,16.16946
2017,Sonora,26,32.90556
2017,Tabasco,27,40.31716
2017,Tamaulipas,28,38.90869
2017,Tlaxcala,29,32.88257
2017,Veracruz de Ignacio de la Llave,30,31.11947
2017,Yucatán,31,14.52728
