Year,Desglose_geográfico,GeoCode,Value
2008,Estados Unidos Mexicanos,0,49.01687985
2008,Aguascalientes,1,45.33053796
2008,Aguascalientes,1001,
2008,Asientos,1002,
2008,Calvillo,1003,
2008,Cosío,1004,
2008,Jesús María,1005,
2008,Pabellón de Arteaga,1006,
2008,Rincón de Romos,1007,
2008,San José de Gracia,1008,
2008,Tepezalá,1009,
2008,El Llano,1010,
2008,San Francisco de los Romo,1011,
2008,Baja California,2,31.3674878
2008,Ensenada,2001,
2008,Mexicali,2002,
2008,Tecate,2003,
2008,Tijuana,2004,
2008,Playas de Rosarito,2005,
2008,San Quintín,2006,
2008,Baja California Sur,3,26.04216101
2008,Comondú,3001,
2008,Mulegé,3002,
2008,La Paz,3003,
2008,Los Cabos,3008,
2008,Loreto,3009,
2008,Campeche,4,50.49401625
2008,Calkiní,4001,
2008,Campeche,4002,
2008,Carmen,4003,
2008,Champotón,4004,
2008,Hecelchakán,4005,
2008,Hopelchén,4006,
2008,Palizada,4007,
2008,Tenabo,4008,
2008,Escárcega,4009,
2008,Calakmul,4010,
2008,Candelaria,4011,
2008,Coahuila de Zaragoza,5,45.25487971
2008,Abasolo,5001,
2008,Acuña,5002,
2008,Allende,5003,
2008,Arteaga,5004,
2008,Candela,5005,
2008,Castaños,5006,
2008,Cuatro Ciénegas,5007,
2008,Escobedo,5008,
2008,Francisco I. Madero,5009,
2008,Frontera,5010,
2008,General Cepeda,5011,
2008,Guerrero,5012,
2008,Hidalgo,5013,
2008,Jiménez,5014,
2008,Juárez,5015,
2008,Lamadrid,5016,
2008,Matamoros,5017,
2008,Monclova,5018,
2008,Morelos,5019,
2008,Múzquiz,5020,
2008,Nadadores,5021,
2008,Nava,5022,
2008,Ocampo,5023,
2008,Parras,5024,
2008,Piedras Negras,5025,
2008,Progreso,5026,
2008,Ramos Arizpe,5027,
2008,Sabinas,5028,
2008,Sacramento,5029,
2008,Saltillo,5030,
2008,San Buenaventura,5031,
2008,San Juan de Sabinas,5032,
2008,San Pedro,5033,
2008,Sierra Mojada,5034,
2008,Torreón,5035,
2008,Viesca,5036,
2008,Villa Unión,5037,
2008,Zaragoza,5038,
2008,Colima,6,30.90934954
2008,Armería,6001,
2008,Colima,6002,
2008,Comala,6003,
2008,Coquimatlán,6004,
2008,Cuauhtémoc,6005,
2008,Ixtlahuacán,6006,
2008,Manzanillo,6007,
2008,Minatitlán,6008,
2008,Tecomán,6009,
2008,Villa de Álvarez,6010,
2008,Chiapas,7,78.487541
2008,Acacoyagua,7001,
2008,Acala,7002,
2008,Acapetahua,7003,
2008,Altamirano,7004,
2008,Amatán,7005,
2008,Amatenango de la Frontera,7006,
2008,Amatenango del Valle,7007,
2008,Angel Albino Corzo,7008,
2008,Arriaga,7009,
2008,Bejucal de Ocampo,7010,
2008,Bella Vista,7011,
2008,Berriozábal,7012,
2008,Bochil,7013,
2008,El Bosque,7014,
2008,Cacahoatán,7015,
2008,Catazajá,7016,
2008,Cintalapa,7017,
2008,Coapilla,7018,
2008,Comitán de Domínguez,7019,
2008,La Concordia,7020,
2008,Copainalá,7021,
2008,Chalchihuitán,7022,
2008,Chamula,7023,
2008,Chanal,7024,
2008,Chapultenango,7025,
2008,Chenalhó,7026,
2008,Chiapa de Corzo,7027,
2008,Chiapilla,7028,
2008,Chicoasén,7029,
2008,Chicomuselo,7030,
2008,Chilón,7031,
2008,Escuintla,7032,
2008,Francisco León,7033,
2008,Frontera Comalapa,7034,
2008,Frontera Hidalgo,7035,
2008,La Grandeza,7036,
2008,Huehuetán,7037,
