Year,Tipo de servicio,Entidad federativa,Sexo,GeoCode,Value
2021,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Total,0,62.61441471
2019,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Total,0,60.33248111
2017,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Total,0,66.40743621
2015,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Total,0,68.28294711
2013,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Total,0,71.39652943
2021,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Mujeres,0,61.55190411
2019,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Mujeres,0,61.18979111
2017,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Mujeres,0,67.00311652
2015,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Mujeres,0,68.0851845
2013,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Mujeres,0,71.14969735
2021,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Hombres,0,62.00299885
2019,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Hombres,0,61.01191074
2017,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Hombres,0,66.74826646
2015,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Hombres,0,68.17105598
2013,Satisfacción con el servicio de educación pública obligatoria,Estados Unidos Mexicanos,Hombres,0,71.25527004
2021,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Total,1,70.69371526
2019,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Total,1,73.45345895
2017,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Total,1,68.26324082
2015,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Total,1,74.5541855
2013,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Total,1,71.28009015
2021,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Mujeres,1,66.72035086
2019,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Mujeres,1,66.71997917
2017,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Mujeres,1,67.84432907
2015,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Mujeres,1,76.49806512
2013,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Mujeres,1,76.06407908
2021,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Hombres,1,68.41669379
2019,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Hombres,1,67.85773162
2017,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Hombres,1,68.01632125
2015,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Hombres,1,75.6367139
2013,Satisfacción con el servicio de educación pública obligatoria,Aguascalientes,Hombres,1,74.07643534
2021,Satisfacción con el servicio de educación pública obligatoria,Baja California,Total,2,70.37756378
2019,Satisfacción con el servicio de educación pública obligatoria,Baja California,Total,2,74.28596634
2017,Satisfacción con el servicio de educación pública obligatoria,Baja California,Total,2,75.39276864
2015,Satisfacción con el servicio de educación pública obligatoria,Baja California,Total,2,68.27026452
2013,Satisfacción con el servicio de educación pública obligatoria,Baja California,Total,2,55.21143617
2021,Satisfacción con el servicio de educación pública obligatoria,Baja California,Mujeres,2,75.6364499
2019,Satisfacción con el servicio de educación pública obligatoria,Baja California,Mujeres,2,66.55424174
2017,Satisfacción con el servicio de educación pública obligatoria,Baja California,Mujeres,2,78.10842497
2015,Satisfacción con el servicio de educación pública obligatoria,Baja California,Mujeres,2,71.89723091
2013,Satisfacción con el servicio de educación pública obligatoria,Baja California,Mujeres,2,57.33790552
2021,Satisfacción con el servicio de educación pública obligatoria,Baja California,Hombres,2,73.25129371
2019,Satisfacción con el servicio de educación pública obligatoria,Baja California,Hombres,2,67.77768471
2017,Satisfacción con el servicio de educación pública obligatoria,Baja California,Hombres,2,76.88448683
2015,Satisfacción con el servicio de educación pública obligatoria,Baja California,Hombres,2,70.34005375
2013,Satisfacción con el servicio de educación pública obligatoria,Baja California,Hombres,2,56.26523265
2021,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Total,3,70.54220851
2019,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Total,3,75.61566638
2017,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Total,3,80.01580715
2015,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Total,3,84.84567185
2013,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Total,3,72.17626203
2021,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Mujeres,3,78.05043468
2019,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Mujeres,3,71.29726839
2017,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Mujeres,3,77.59785864
2015,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Mujeres,3,83.73001214
2013,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Mujeres,3,74.33907668
2021,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Hombres,3,74.62453905
2019,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Hombres,3,72.42041391
2017,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Hombres,3,78.5684825
2015,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Hombres,3,84.22444572
2013,Satisfacción con el servicio de educación pública obligatoria,Baja California Sur,Hombres,3,73.39198581
2021,Satisfacción con el servicio de educación pública obligatoria,Campeche,Total,4,71.01213801
2019,Satisfacción con el servicio de educación pública obligatoria,Campeche,Total,4,71.48889961
2017,Satisfacción con el servicio de educación pública obligatoria,Campeche,Total,4,77.17457704
2015,Satisfacción con el servicio de educación pública obligatoria,Campeche,Total,4,83.10480569
2013,Satisfacción con el servicio de educación pública obligatoria,Campeche,Total,4,68.87856814
2021,Satisfacción con el servicio de educación pública obligatoria,Campeche,Mujeres,4,62.89195992
2019,Satisfacción con el servicio de educación pública obligatoria,Campeche,Mujeres,4,66.68646001
