Value,Disaggregation combinations using this value,Number of indicators
Acacoyagua,2,2
Acala,2,2
Acapetahua,2,2
Aldama,2,2
Altamirano,2,2
Amatenango de la Frontera,2,2
Amatenango del Valle,2,2
Amatán,2,2
Angel Albino Corzo,2,2
Arriaga,2,2
Bejucal de Ocampo,2,2
Bella Vista,2,2
Benemérito de las Américas,2,2
Berriozábal,2,2
Bochil,2,2
Cacahoatán,2,2
Capitán Luis Ángel Vidal,2,2
Catazajá,2,2
Chalchihuitán,2,2
Chamula,2,2
Chanal,2,2
Chapultenango,2,2
Chenalhó,2,2
Chiapa de Corzo,2,2
Chiapilla,2,2
Chicoasén,2,2
Chicomuselo,2,2
Chilón,2,2
Cintalapa,2,2
Coapilla,2,2
Comitán de Domínguez,2,2
Copainalá,2,2
El Bosque,2,2
El Parral,2,2
El Porvenir,2,2
Emiliano Zapata,2,2
Escuintla,2,2
Francisco León,2,2
Frontera Comalapa,2,2
Frontera Hidalgo,2,2
Honduras de la Sierra,2,2
Huehuetán,2,2
Huitiupán,2,2
Huixtla,2,2
Huixtán,2,2
Ixhuatán,2,2
Ixtacomitán,2,2
Ixtapa,2,2
Ixtapangajoya,2,2
Jiquipilas,2,2
Jitotol,2,2
Juárez,2,2
La Concordia,2,2
La Grandeza,2,2
La Independencia,2,2
La Libertad,2,2
La Trinitaria,2,2
Larráinzar,2,2
Las Margaritas,2,2
Las Rosas,2,2
Mapastepec,2,2
Maravilla Tenejapa,2,2
Marqués de Comillas,2,2
Mazapa de Madero,2,2
Mazatán,2,2
Metapa,2,2
Mezcalapa,2,2
Mitontic,2,2
Montecristo de Guerrero,2,2
Motozintla,2,2
Nicolás Ruíz,2,2
Ocosingo,2,2
Ocotepec,2,2
Ocozocoautla de Espinosa,2,2
Ostuacán,2,2
Osumacinta,2,2
Oxchuc,2,2
Palenque,2,2
Pantelhó,2,2
Pantepec,2,2
Pichucalco,2,2
Pijijiapan,2,2
Pueblo Nuevo Solistahuacán,2,2
Rayón,2,2
Reforma,2,2
Rincón Chamula San Pedro,2,2
Sabanilla,2,2
Salto de Agua,2,2
San Andrés Duraznal,2,2
San Cristóbal de las Casas,2,2
San Fernando,2,2
San Juan Cancuc,2,2
San Lucas,2,2
Santiago el Pinar,2,2
Siltepec,2,2
Simojovel,2,2
Sitalá,2,2
Socoltenango,2,2
Solosuchiapa,2,2
Soyaló,2,2
Suchiapa,2,2
Suchiate,2,2
Sunuapa,2,2
Tapachula,2,2
Tapalapa,2,2
Tapilula,2,2
Tecpatán,2,2
Tenejapa,2,2
Teopisca,2,2
Tila,2,2
Tonalá,2,2
Totolapa,2,2
Tumbalá,2,2
Tuxtla Chico,2,2
Tuxtla Gutiérrez,2,2
Tuzantán,2,2
Tzimol,2,2
Unión Juárez,2,2
Venustiano Carranza,2,2
Villa Comaltitlán,2,2
Villa Corzo,2,2
Villaflores,2,2
Yajalón,2,2
Zinacantán,2,2
