Value,Disaggregation combinations using this value,Number of indicators
Ahumada,1,1
Aldama,1,1
Allende,1,1
Aquiles Serdán,1,1
Ascensión,1,1
Bachíniva,1,1
Balleza,1,1
Batopilas,1,1
Bocoyna,1,1
Buenaventura,1,1
Camargo,1,1
Carichí,1,1
Casas Grandes,1,1
Chihuahua,1,1
Chínipas,1,1
Coronado,1,1
Coyame del Sotol,1,1
Cuauhtémoc,1,1
Cusihuiriachi,1,1
Delicias,1,1
Dr. Belisario Domínguez,1,1
El Tule,1,1
Galeana,1,1
Gran Morelos,1,1
Guachochi,1,1
Guadalupe y Calvo,1,1
Guadalupe,1,1
Guazapares,1,1
Guerrero,1,1
Gómez Farías,1,1
Hidalgo del Parral,1,1
Huejotitán,1,1
Ignacio Zaragoza,1,1
Janos,1,1
Jiménez,1,1
Julimes,1,1
Juárez,1,1
La Cruz,1,1
López,1,1
Madera,1,1
Maguarichi,1,1
Manuel Benavides,1,1
Matachí,1,1
Matamoros,1,1
Meoqui,1,1
Morelos,1,1
Moris,1,1
Namiquipa,1,1
Nonoava,1,1
Nuevo Casas Grandes,1,1
Ocampo,1,1
Ojinaga,1,1
Praxedis G. Guerrero,1,1
Riva Palacio,1,1
Rosales,1,1
Rosario,1,1
San Francisco de Borja,1,1
San Francisco de Conchos,1,1
San Francisco del Oro,1,1
Santa Bárbara,1,1
Santa Isabel,1,1
Satevó,1,1
Saucillo,1,1
Temósachic,1,1
Urique,1,1
Uruachi,1,1
Valle de Zaragoza,1,1
