Value,Disaggregation combinations using this value,Number of indicators
Abasolo,1,1
Acuña,1,1
Allende,1,1
Arteaga,1,1
Candela,1,1
Castaños,1,1
Cuatro Ciénegas,1,1
Escobedo,1,1
Francisco I. Madero,1,1
Frontera,1,1
General Cepeda,1,1
Guerrero,1,1
Hidalgo,1,1
Jiménez,1,1
Juárez,1,1
Lamadrid,1,1
Matamoros,1,1
Monclova,1,1
Morelos,1,1
Múzquiz,1,1
Nadadores,1,1
Nava,1,1
Ocampo,1,1
Parras,1,1
Piedras Negras,1,1
Progreso,1,1
Ramos Arizpe,1,1
Sabinas,1,1
Sacramento,1,1
Saltillo,1,1
San Buenaventura,1,1
San Juan de Sabinas,1,1
San Pedro,1,1
Sierra Mojada,1,1
Torreón,1,1
Viesca,1,1
Villa Unión,1,1
Zaragoza,1,1
