Value,Disaggregation combinations using this value,Number of indicators
Canatlán,1,1
Canelas,1,1
Coneto de Comonfort,1,1
Cuencamé,1,1
Durango,1,1
El Oro,1,1
General Simón Bolívar,1,1
Guadalupe Victoria,1,1
Guanaceví,1,1
Gómez Palacio,1,1
Hidalgo,1,1
Indé,1,1
Lerdo,1,1
Mapimí,1,1
Mezquital,1,1
Nazas,1,1
Nombre de Dios,1,1
Nuevo Ideal,1,1
Ocampo,1,1
Otáez,1,1
Peñón Blanco,1,1
Poanas,1,1
Pueblo Nuevo,1,1
Pánuco de Coronado,1,1
Rodeo,1,1
San Bernardo,1,1
San Dimas,1,1
San Juan de Guadalupe,1,1
San Juan del Río,1,1
San Luis del Cordero,1,1
San Pedro del Gallo,1,1
Santa Clara,1,1
Santiago Papasquiaro,1,1
Súchil,1,1
Tamazula,1,1
Tepehuanes,1,1
Tlahualilo,1,1
Topia,1,1
Vicente Guerrero,1,1
