Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,20,4
Baja California Sur,14,4
Baja California,15,4
Campeche,23,4
Chiapas,133,4
Chihuahua,76,4
Ciudad de México,25,4
Coahuila de Zaragoza,47,4
Colima,20,4
Durango,48,4
Estados Unidos Mexicanos,18,4
Guanajuato,55,4
Guerrero,90,4
Hidalgo,93,4
Jalisco,134,4
Michoacán de Ocampo,122,4
Morelos,45,4
México,134,4
Nayarit,29,4
Nuevo León,60,4
Oaxaca,579,4
Puebla,226,4
Querétaro,27,4
Quintana Roo,20,4
San Luis Potosí,67,4
Sinaloa,27,4
Sonora,81,4
Tabasco,26,4
Tamaulipas,53,4
Tlaxcala,69,4
Veracruz de Ignacio de la Llave,221,4
Yucatán,115,4
Zacatecas,67,4
