Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,4,2
Baja California Sur,1,1
Baja California,4,2
Baja California_Sur,4,1
Campeche,4,2
Chiapas,4,2
Chihuahua,4,2
Ciudad de México,4,2
Coahuila de Zaragoza,4,2
Colima,4,2
Durango,4,2
Estados Unidos Mexicanos,4,2
Guanajuato,4,2
Guerrero,4,2
Hidalgo,4,2
Jalisco,4,2
Michoacán de Ocampo,4,2
Morelos,4,2
México,4,2
Nayarit,4,2
Nuevo León,4,2
Oaxaca,4,2
Puebla,4,2
Querétaro,4,2
Quintana Roo,4,2
San Luis Potosí,4,2
Sinaloa,4,2
Sonora,4,2
Tabasco,4,2
Tamaulipas,4,2
Tlaxcala,4,2
Veracruz de Ignacio de la Llave,4,2
Yucatán,4,2
Zacatecas,4,2
