Value,Disaggregation combinations using this value,Number of indicators
Abasolo,2,2
Acámbaro,2,2
Apaseo el Alto,2,2
Apaseo el Grande,2,2
Atarjea,2,2
Celaya,2,2
Comonfort,2,2
Coroneo,2,2
Cortazar,2,2
Cuerámaro,2,2
Doctor Mora,2,2
Dolores Hidalgo Cuna de la Independencia Nacional,2,2
Guanajuato,2,2
Huanímaro,2,2
Irapuato,2,2
Jaral del Progreso,2,2
Jerécuaro,2,2
León,2,2
Manuel Doblado,2,2
Moroleón,2,2
Ocampo,2,2
Pueblo Nuevo,2,2
Purísima del Rincón,2,2
Pénjamo,2,2
Romita,2,2
Salamanca,2,2
Salvatierra,2,2
San Diego de la Unión,2,2
San Felipe,2,2
San Francisco del Rincón,2,2
San José Iturbide,2,2
San Luis de la Paz,2,2
San Miguel de Allende,2,2
Santa Catarina,2,2
Santa Cruz de Juventino Rosas,2,2
Santiago Maravatío,2,2
Silao de la Victoria,2,2
Tarandacuao,2,2
Tarimoro,2,2
Tierra Blanca,2,2
Uriangato,2,2
Valle de Santiago,2,2
Victoria,2,2
Villagrán,2,2
Xichú,2,2
Yuriria,2,2
