Value,Disaggregation combinations using this value,Number of indicators
Acapulco de Juárez,2,2
Acatepec,2,2
Ahuacuotzingo,2,2
Ajuchitlán del Progreso,2,2
Alcozauca de Guerrero,2,2
Alpoyeca,2,2
Apaxtla,2,2
Arcelia,2,2
Atenango del Río,2,2
Atlamajalcingo del Monte,2,2
Atlixtac,2,2
Atoyac de Álvarez,2,2
Ayutla de los Libres,2,2
Azoyú,2,2
Benito Juárez,2,2
Buenavista de Cuéllar,2,2
Chilapa de Álvarez,2,2
Chilpancingo de los Bravo,2,2
Coahuayutla de José María Izazaga,2,2
Cochoapa el Grande,2,2
Cocula,2,2
Copala,2,2
Copalillo,2,2
Copanatoyac,2,2
Coyuca de Benítez,2,2
Coyuca de Catalán,2,2
Cuajinicuilapa,2,2
Cualác,2,2
Cuautepec,2,2
Cuetzala del Progreso,2,2
Cutzamala de Pinzón,2,2
Eduardo Neri,2,2
Florencio Villarreal,2,2
General Canuto A. Neri,2,2
General Heliodoro Castillo,2,2
Huamuxtitlán,2,2
Huitzuco de los Figueroa,2,2
Iguala de la Independencia,2,2
Igualapa,2,2
Iliatenco,2,2
Ixcateopan de Cuauhtémoc,2,2
José Joaquín de Herrera,2,2
Juan R. Escudero,2,2
Juchitán,2,2
La Unión de Isidoro Montes de Oca,2,2
Leonardo Bravo,2,2
Malinaltepec,2,2
Marquelia,2,2
Metlatónoc,2,2
Mochitlán,2,2
Mártir de Cuilapan,2,2
Olinalá,2,2
Ometepec,2,2
Pedro Ascencio Alquisiras,2,2
Petatlán,2,2
Pilcaya,2,2
Pungarabato,2,2
Quechultenango,2,2
San Luis Acatlán,2,2
San Marcos,2,2
San Miguel Totolapan,2,2
Taxco de Alarcón,2,2
Tecoanapa,2,2
Teloloapan,2,2
Tepecoacuilco de Trujano,2,2
Tetipac,2,2
Tixtla de Guerrero,2,2
Tlacoachistlahuaca,2,2
Tlacoapa,2,2
Tlalchapa,2,2
Tlalixtaquilla de Maldonado,2,2
Tlapa de Comonfort,2,2
Tlapehuala,2,2
Técpan de Galeana,2,2
Xalpatláhuac,2,2
Xochihuehuetlán,2,2
Xochistlahuaca,2,2
Zapotitlán Tablas,2,2
Zihuatanejo de Azueta,2,2
Zirándaro,2,2
Zitlala,2,2
