Value,Disaggregation combinations using this value,Number of indicators
Acatic,1,1
Acatlán de Juárez,1,1
Ahualulco de Mercado,1,1
Amacueca,1,1
Amatitán,1,1
Ameca,1,1
Arandas,1,1
Atemajac de Brizuela,1,1
Atengo,1,1
Atenguillo,1,1
Atotonilco el Alto,1,1
Atoyac,1,1
Autlán de Navarro,1,1
Ayotlán,1,1
Ayutla,1,1
Bolaños,1,1
Cabo Corrientes,1,1
Casimiro Castillo,1,1
Cañadas de Obregón,1,1
Chapala,1,1
Chimaltitán,1,1
Chiquilistlán,1,1
Cihuatlán,1,1
Cocula,1,1
Colotlán,1,1
Concepción de Buenos Aires,1,1
Cuautitlán de García Barragán,1,1
Cuautla,1,1
Cuquío,1,1
Degollado,1,1
Ejutla,1,1
El Arenal,1,1
El Grullo,1,1
El Limón,1,1
El Salto,1,1
Encarnación de Díaz,1,1
Etzatlán,1,1
Guachinango,1,1
Guadalajara,1,1
Gómez Farías,1,1
Hostotipaquillo,1,1
Huejuquilla el Alto,1,1
Huejúcar,1,1
Ixtlahuacán de los Membrillos,1,1
Ixtlahuacán del Río,1,1
Jalostotitlán,1,1
Jamay,1,1
Jesús María,1,1
Jilotlán de los Dolores,1,1
Jocotepec,1,1
Juanacatlán,1,1
Juchitlán,1,1
La Barca,1,1
La Huerta,1,1
La Manzanilla de la Paz,1,1
Lagos de Moreno,1,1
Magdalena,1,1
Mascota,1,1
Mazamitla,1,1
Mexticacán,1,1
Mezquitic,1,1
Mixtlán,1,1
Ocotlán,1,1
Ojuelos de Jalisco,1,1
Pihuamo,1,1
Poncitlán,1,1
Puerto Vallarta,1,1
Quitupan,1,1
San Cristóbal de la Barranca,1,1
San Diego de Alejandría,1,1
San Gabriel,1,1
San Ignacio Cerro Gordo,1,1
San Juan de los Lagos,1,1
San Juanito de Escobedo,1,1
San Julián,1,1
San Marcos,1,1
San Martín de Bolaños,1,1
San Martín Hidalgo,1,1
San Miguel el Alto,1,1
San Pedro Tlaquepaque,1,1
San Sebastián del Oeste,1,1
Santa María de los Ángeles,1,1
Santa María del Oro,1,1
Sayula,1,1
Tala,1,1
Talpa de Allende,1,1
Tamazula de Gordiano,1,1
Tapalpa,1,1
Tecalitlán,1,1
Techaluta de Montenegro,1,1
Tecolotlán,1,1
Tenamaxtlán,1,1
Teocaltiche,1,1
Teocuitatlán de Corona,1,1
Tepatitlán de Morelos,1,1
Tequila,1,1
Teuchitlán,1,1
Tizapán el Alto,1,1
Tlajomulco de Zúñiga,1,1
Tolimán,1,1
Tomatlán,1,1
Tonalá,1,1
Tonaya,1,1
Tonila,1,1
Totatiche,1,1
Tototlán,1,1
Tuxcacuesco,1,1
Tuxcueca,1,1
Tuxpan,1,1
Unión de San Antonio,1,1
Unión de Tula,1,1
Valle de Guadalupe,1,1
Valle de Juárez,1,1
Villa Corona,1,1
Villa Guerrero,1,1
Villa Hidalgo,1,1
Villa Purificación,1,1
Yahualica de González Gallo,1,1
Zacoalco de Torres,1,1
Zapopan,1,1
Zapotiltic,1,1
Zapotitlán de Vadillo,1,1
Zapotlanejo,1,1
Zapotlán del Rey,1,1
Zapotlán el Grande,1,1
