Value,Disaggregation combinations using this value,Number of indicators
Acuitzio,1,1
Aguililla,1,1
Angamacutiro,1,1
Angangueo,1,1
Apatzingán,1,1
Aporo,1,1
Aquila,1,1
Ario,1,1
Arteaga,1,1
Briseñas,1,1
Buenavista,1,1
Carácuaro,1,1
Charapan,1,1
Charo,1,1
Chavinda,1,1
Cherán,1,1
Chilchota,1,1
Chinicuila,1,1
Chucándiro,1,1
Churintzio,1,1
Churumuco,1,1
Coahuayana,1,1
Coalcomán de Vázquez Pallares,1,1
Coeneo,1,1
Cojumatlán de Régules,1,1
Contepec,1,1
Copándaro,1,1
Cotija,1,1
Cuitzeo,1,1
Ecuandureo,1,1
Epitacio Huerta,1,1
Erongarícuaro,1,1
Gabriel Zamora,1,1
Hidalgo,1,1
Huandacareo,1,1
Huaniqueo,1,1
Huetamo,1,1
Huiramba,1,1
Indaparapeo,1,1
Irimbo,1,1
Ixtlán,1,1
Jacona,1,1
Jiménez,1,1
Jiquilpan,1,1
José Sixto Verduzco,1,1
Jungapeo,1,1
Juárez,1,1
La Huacana,1,1
La Piedad,1,1
Lagunillas,1,1
Los Reyes,1,1
Lázaro Cárdenas,1,1
Madero,1,1
Maravatío,1,1
Marcos Castellanos,1,1
Morelia,1,1
Morelos,1,1
Múgica,1,1
Nahuatzen,1,1
Nocupétaro,1,1
Nuevo Parangaricutiro,1,1
Nuevo Urecho,1,1
Numarán,1,1
Ocampo,1,1
Pajacuarán,1,1
Panindícuaro,1,1
Paracho,1,1
Parácuaro,1,1
Penjamillo,1,1
Peribán,1,1
Puruándiro,1,1
Purépero,1,1
Pátzcuaro,1,1
Queréndaro,1,1
Quiroga,1,1
Sahuayo,1,1
Salvador Escalante,1,1
San Lucas,1,1
Santa Ana Maya,1,1
Senguio,1,1
Susupuato,1,1
Tacámbaro,1,1
Tancítaro,1,1
Tangamandapio,1,1
Tangancícuaro,1,1
Tanhuato,1,1
Taretan,1,1
Tarímbaro,1,1
Tepalcatepec,1,1
Tingambato,1,1
Tingüindín,1,1
Tiquicheo de Nicolás Romero,1,1
Tlalpujahua,1,1
Tlazazalca,1,1
Tocumbo,1,1
Tumbiscatío,1,1
Turicato,1,1
Tuxpan,1,1
Tuzantla,1,1
Tzintzuntzan,1,1
Tzitzio,1,1
Uruapan,1,1
Venustiano Carranza,1,1
Villamar,1,1
Vista Hermosa,1,1
Yurécuaro,1,1
Zacapu,1,1
Zamora,1,1
Zinapécuaro,1,1
Zináparo,1,1
Ziracuaretiro,1,1
Zitácuaro,1,1
Álvaro Obregón,1,1
