Value,Disaggregation combinations using this value,Number of indicators
Amacuzac,1,1
Atlatlahucan,1,1
Axochiapan,1,1
Ayala,1,1
Coatetelco,1,1
Coatlán del Río,1,1
Cuautla,1,1
Cuernavaca,1,1
Emiliano Zapata,1,1
Hueyapan,1,1
Huitzilac,1,1
Jantetelco,1,1
Jiutepec,1,1
Jojutla,1,1
Jonacatepec,1,1
Mazatepec,1,1
Miacatlán,1,1
Ocuituco,1,1
Puente de Ixtla,1,1
Temixco,1,1
Temoac,1,1
Tepalcingo,1,1
Tepoztlán,1,1
Tetecala,1,1
Tetela del Volcán,1,1
Tlalnepantla,1,1
Tlaltizapán de Zapata,1,1
Tlaquiltenango,1,1
Tlayacapan,1,1
Totolapan,1,1
Xochitepec,1,1
Xoxocotla,1,1
Yautepec,1,1
Yecapixtla,1,1
Zacatepec,1,1
Zacualpan de Amilpas,1,1
