Value,Disaggregation combinations using this value,Number of indicators
Acambay de Ruíz Castañeda,2,2
Acolman,2,2
Aculco,2,2
Almoloya de Alquisiras,2,2
Almoloya de Juárez,2,2
Almoloya del Río,2,2
Amanalco,2,2
Amatepec,2,2
Amecameca,2,2
Apaxco,2,2
Atenco,2,2
Atizapán de Zaragoza,2,2
Atizapán,2,2
Atlacomulco,2,2
Atlautla,2,2
Axapusco,2,2
Ayapango,2,2
Calimaya,2,2
Capulhuac,2,2
Chalco,2,2
Chapa de Mota,2,2
Chapultepec,2,2
Chiautla,2,2
Chicoloapan,2,2
Chiconcuac,2,2
Chimalhuacán,2,2
Coacalco de Berriozábal,2,2
Coatepec Harinas,2,2
Cocotitlán,2,2
Coyotepec,2,2
Cuautitlán Izcalli,2,2
Cuautitlán,2,2
Donato Guerra,2,2
Ecatepec de Morelos,2,2
Ecatzingo,2,2
El Oro,2,2
Huehuetoca,2,2
Hueypoxtla,2,2
Huixquilucan,2,2
Isidro Fabela,2,2
Ixtapaluca,2,2
Ixtapan de la Sal,2,2
Ixtapan del Oro,2,2
Ixtlahuaca,2,2
Jaltenco,2,2
Jilotepec,2,2
Jilotzingo,2,2
Jiquipilco,2,2
Jocotitlán,2,2
Joquicingo,2,2
Juchitepec,2,2
La Paz,2,2
Lerma,2,2
Luvianos,2,2
Malinalco,2,2
Melchor Ocampo,2,2
Metepec,2,2
Mexicaltzingo,2,2
Morelos,2,2
Naucalpan de Juárez,2,2
Nextlalpan,2,2
Nezahualcóyotl,2,2
Nicolás Romero,2,2
Nopaltepec,2,2
Ocoyoacac,2,2
Ocuilan,2,2
Otumba,2,2
Otzoloapan,2,2
Otzolotepec,2,2
Ozumba,2,2
Papalotla,2,2
Polotitlán,2,2
Rayón,2,2
San Antonio la Isla,2,2
San Felipe del Progreso,2,2
San José del Rincón,2,2
San Martín de las Pirámides,2,2
San Mateo Atenco,2,2
San Simón de Guerrero,2,2
Santo Tomás,2,2
Soyaniquilpan de Juárez,2,2
Sultepec,2,2
Tecámac,2,2
Tejupilco,2,2
Temamatla,2,2
Temascalapa,2,2
Temascalcingo,2,2
Temascaltepec,2,2
Temoaya,2,2
Tenancingo,2,2
Tenango del Aire,2,2
Tenango del Valle,2,2
Teoloyucan,2,2
Teotihuacán,2,2
Tepetlaoxtoc,2,2
Tepetlixpa,2,2
Tepotzotlán,2,2
Tequixquiac,2,2
Texcaltitlán,2,2
Texcalyacac,2,2
Texcoco,2,2
Tezoyuca,2,2
Tianguistenco,2,2
Timilpan,2,2
Tlalmanalco,2,2
Tlalnepantla de Baz,2,2
Tlatlaya,2,2
Toluca,2,2
Tonanitla,2,2
Tonatico,2,2
Tultepec,2,2
Tultitlán,2,2
Valle de Bravo,2,2
Valle de Chalco Solidaridad,2,2
Villa de Allende,2,2
Villa del Carbón,2,2
Villa Guerrero,2,2
Villa Victoria,2,2
Xalatlaco,2,2
Xonacatlán,2,2
Zacazonapan,2,2
Zacualpan,2,2
Zinacantepec,2,2
Zumpahuacán,2,2
Zumpango,2,2
