Value,Disaggregation combinations using this value,Number of indicators
Abasolo,2,2
Agualeguas,2,2
Allende,2,2
Anáhuac,2,2
Apodaca,2,2
Aramberri,2,2
Bustamante,2,2
Cadereyta Jiménez,2,2
Cerralvo,2,2
China,2,2
Ciénega de Flores,2,2
Doctor Arroyo,2,2
Doctor Coss,2,2
Doctor González,2,2
El Carmen,2,2
Galeana,2,2
García,2,2
General Bravo,2,2
General Escobedo,2,2
General Terán,2,2
General Treviño,2,2
General Zaragoza,2,2
General Zuazua,2,2
Guadalupe,2,2
Hidalgo,2,2
Higueras,2,2
Hualahuises,2,2
Iturbide,2,2
Juárez,2,2
Lampazos de Naranjo,2,2
Linares,2,2
Los Aldamas,2,2
Los Herreras,2,2
Los Ramones,2,2
Marín,2,2
Melchor Ocampo,2,2
Mier y Noriega,2,2
Mina,2,2
Montemorelos,2,2
Monterrey,2,2
Parás,2,2
Pesquería,2,2
Rayones,2,2
Sabinas Hidalgo,2,2
Salinas Victoria,2,2
San Nicolás de los Garza,2,2
San Pedro Garza García,2,2
Santa Catarina,2,2
Santiago,2,2
Vallecillo,2,2
Villaldama,2,2
