Value,Disaggregation combinations using this value,Number of indicators
Abejones,1,1
Acatlán de Pérez Figueroa,1,1
Asunción Cacalotepec,1,1
Asunción Cuyotepeji,1,1
Asunción Ixtaltepec,1,1
Asunción Nochixtlán,1,1
Asunción Ocotlán,1,1
Asunción Tlacolulita,1,1
Ayoquezco de Aldama,1,1
Ayotzintepec,1,1
Calihualá,1,1
Candelaria Loxicha,1,1
Capulálpam de Méndez,1,1
Chahuites,1,1
Chalcatongo de Hidalgo,1,1
Chiquihuitlán de Benito Juárez,1,1
Ciudad Ixtepec,1,1
Ciénega de Zimatlán,1,1
Coatecas Altas,1,1
Coicoyán de las Flores,1,1
Concepción Buenavista,1,1
Concepción Pápalo,1,1
Constancia del Rosario,1,1
Cosolapa,1,1
Cosoltepec,1,1
Cuilápam de Guerrero,1,1
Cuyamecalco Villa de Zaragoza,1,1
El Barrio de la Soledad,1,1
El Espinal,1,1
Eloxochitlán de Flores Magón,1,1
Fresnillo de Trujano,1,1
Guadalupe de Ramírez,1,1
Guadalupe Etla,1,1
Guelatao de Juárez,1,1
Guevea de Humboldt,1,1
Heroica Ciudad de Ejutla de Crespo,1,1
Heroica Ciudad de Huajuapan de León,1,1
Heroica Ciudad de Juchitán de Zaragoza,1,1
Heroica Ciudad de Tlaxiaco,1,1
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",1,1
Huautepec,1,1
Huautla de Jiménez,1,1
Ixpantepec Nieves,1,1
Ixtlán de Juárez,1,1
La Compañía,1,1
La Pe,1,1
La Reforma,1,1
La Trinidad Vista Hermosa,1,1
Loma Bonita,1,1
Magdalena Apasco,1,1
Magdalena Jaltepec,1,1
Magdalena Mixtepec,1,1
Magdalena Ocotlán,1,1
Magdalena Peñasco,1,1
Magdalena Teitipac,1,1
Magdalena Tequisistlán,1,1
Magdalena Tlacotepec,1,1
Magdalena Yodocono de Porfirio Díaz,1,1
Magdalena Zahuatlán,1,1
Mariscala de Juárez,1,1
Matías Romero Avendaño,1,1
Mazatlán Villa de Flores,1,1
Mesones Hidalgo,1,1
Miahuatlán de Porfirio Díaz,1,1
Mixistlán de la Reforma,1,1
Monjas,1,1
Mártires de Tacubaya,1,1
Natividad,1,1
Nazareno Etla,1,1
Nejapa de Madero,1,1
Nuevo Zoquiápam,1,1
Oaxaca de Juárez,1,1
Ocotlán de Morelos,1,1
Pinotepa de Don Luis,1,1
Pluma Hidalgo,1,1
Putla Villa de Guerrero,1,1
Reforma de Pineda,1,1
Reyes Etla,1,1
Rojas de Cuauhtémoc,1,1
Salina Cruz,1,1
San Agustín Amatengo,1,1
San Agustín Atenango,1,1
San Agustín Chayuco,1,1
San Agustín de las Juntas,1,1
San Agustín Etla,1,1
San Agustín Loxicha,1,1
San Agustín Tlacotepec,1,1
San Agustín Yatareni,1,1
San Andrés Cabecera Nueva,1,1
San Andrés Dinicuiti,1,1
San Andrés Huaxpaltepec,1,1
San Andrés Huayápam,1,1
San Andrés Ixtlahuaca,1,1
San Andrés Lagunas,1,1
San Andrés Nuxiño,1,1
San Andrés Paxtlán,1,1
San Andrés Sinaxtla,1,1
San Andrés Solaga,1,1
San Andrés Teotilálpam,1,1
San Andrés Tepetlapa,1,1
San Andrés Yaá,1,1
San Andrés Zabache,1,1
San Andrés Zautla,1,1
San Antonino Castillo Velasco,1,1
San Antonino el Alto,1,1
San Antonino Monte Verde,1,1
San Antonio Acutla,1,1
San Antonio de la Cal,1,1
San Antonio Huitepec,1,1
San Antonio Nanahuatípam,1,1
San Antonio Sinicahua,1,1
San Antonio Tepetlapa,1,1
San Baltazar Chichicápam,1,1
San Baltazar Loxicha,1,1
San Baltazar Yatzachi el Bajo,1,1
San Bartolo Coyotepec,1,1
San Bartolo Soyaltepec,1,1
San Bartolo Yautepec,1,1
San Bartolomé Ayautla,1,1
San Bartolomé Loxicha,1,1
San Bartolomé Quialana,1,1
San Bartolomé Yucuañe,1,1
San Bartolomé Zoogocho,1,1
San Bernardo Mixtepec,1,1
San Blas Atempa,1,1
San Carlos Yautepec,1,1
San Cristóbal Amatlán,1,1
San Cristóbal Amoltepec,1,1
San Cristóbal Lachirioag,1,1
San Cristóbal Suchixtlahuaca,1,1
San Dionisio del Mar,1,1
San Dionisio Ocotepec,1,1
San Dionisio Ocotlán,1,1
San Esteban Atatlahuca,1,1
San Felipe Jalapa de Díaz,1,1
San Felipe Tejalápam,1,1
San Felipe Usila,1,1
San Francisco Cahuacuá,1,1
San Francisco Cajonos,1,1
San Francisco Chapulapa,1,1
San Francisco Chindúa,1,1
San Francisco del Mar,1,1
San Francisco Huehuetlán,1,1
San Francisco Ixhuatán,1,1
San Francisco Jaltepetongo,1,1
San Francisco Lachigoló,1,1
San Francisco Logueche,1,1
San Francisco Nuxaño,1,1
San Francisco Ozolotepec,1,1
San Francisco Sola,1,1
San Francisco Telixtlahuaca,1,1
San Francisco Teopan,1,1
San Francisco Tlapancingo,1,1
San Gabriel Mixtepec,1,1
San Ildefonso Amatlán,1,1
San Ildefonso Sola,1,1
San Ildefonso Villa Alta,1,1
San Jacinto Amilpas,1,1
San Jacinto Tlacotepec,1,1
San Jerónimo Coatlán,1,1
San Jerónimo Silacayoapilla,1,1
San Jerónimo Sosola,1,1
San Jerónimo Taviche,1,1
San Jerónimo Tecóatl,1,1
San Jerónimo Tlacochahuaya,1,1
San Jorge Nuchita,1,1
San José Ayuquila,1,1
San José Chiltepec,1,1
San José del Peñasco,1,1
San José del Progreso,1,1
San José Estancia Grande,1,1
San José Independencia,1,1
San José Lachiguiri,1,1
San José Tenango,1,1
San Juan Achiutla,1,1
San Juan Atepec,1,1
San Juan Bautista Atatlahuca,1,1
San Juan Bautista Coixtlahuaca,1,1
San Juan Bautista Cuicatlán,1,1
San Juan Bautista Guelache,1,1
San Juan Bautista Jayacatlán,1,1
San Juan Bautista Lo de Soto,1,1
San Juan Bautista Suchitepec,1,1
San Juan Bautista Tlachichilco,1,1
San Juan Bautista Tlacoatzintepec,1,1
San Juan Bautista Tuxtepec,1,1
San Juan Bautista Valle Nacional,1,1
San Juan Cacahuatepec,1,1
San Juan Chicomezúchil,1,1
San Juan Chilateca,1,1
San Juan Cieneguilla,1,1
San Juan Coatzóspam,1,1
San Juan Colorado,1,1
San Juan Comaltepec,1,1
San Juan Cotzocón,1,1
San Juan de los Cués,1,1
San Juan del Estado,1,1
San Juan del Río,1,1
San Juan Diuxi,1,1
San Juan Evangelista Analco,1,1
San Juan Guelavía,1,1
San Juan Guichicovi,1,1
San Juan Ihualtepec,1,1
San Juan Juquila Mixes,1,1
San Juan Juquila Vijanos,1,1
San Juan Lachao,1,1
San Juan Lachigalla,1,1
San Juan Lajarcia,1,1
San Juan Lalana,1,1
San Juan Mazatlán,1,1
San Juan Mixtepec -Dto. 08 -,1,1
San Juan Mixtepec -Dto. 26 -,1,1
San Juan Ozolotepec,1,1
San Juan Petlapa,1,1
San Juan Quiahije,1,1
San Juan Quiotepec,1,1
San Juan Sayultepec,1,1
San Juan Tabaá,1,1
San Juan Tamazola,1,1
San Juan Teita,1,1
San Juan Teitipac,1,1
San Juan Tepeuxila,1,1
San Juan Teposcolula,1,1
San Juan Yaeé,1,1
San Juan Yatzona,1,1
San Juan Yucuita,1,1
San Juan Ñumí,1,1
San Lorenzo Albarradas,1,1
San Lorenzo Cacaotepec,1,1
San Lorenzo Cuaunecuiltitla,1,1
