Value,Disaggregation combinations using this value,Number of indicators
Acajete,2,2
Acateno,2,2
Acatlán,2,2
Acatzingo,2,2
Acteopan,2,2
Ahuacatlán,2,2
Ahuatlán,2,2
Ahuazotepec,2,2
Ahuehuetitla,2,2
Ajalpan,2,2
Albino Zertuche,2,2
Aljojuca,2,2
Altepexi,2,2
Amixtlán,2,2
Amozoc,2,2
Aquixtla,2,2
Atempan,2,2
Atexcal,2,2
Atlequizayan,2,2
Atlixco,2,2
Atoyatempan,2,2
Atzala,2,2
Atzitzihuacán,2,2
Atzitzintla,2,2
Axutla,2,2
Ayotoxco de Guerrero,2,2
Calpan,2,2
Caltepec,2,2
Camocuautla,2,2
Caxhuacan,2,2
Cañada Morelos,2,2
Chalchicomula de Sesma,2,2
Chapulco,2,2
Chiautla,2,2
Chiautzingo,2,2
Chichiquila,2,2
Chiconcuautla,2,2
Chietla,2,2
Chigmecatitlán,2,2
Chignahuapan,2,2
Chignautla,2,2
Chila de la Sal,2,2
Chila,2,2
Chilchotla,2,2
Chinantla,2,2
Coatepec,2,2
Coatzingo,2,2
Cohetzala,2,2
Cohuecan,2,2
Coronango,2,2
Coxcatlán,2,2
Coyomeapan,2,2
Coyotepec,2,2
Cuapiaxtla de Madero,2,2
Cuautempan,2,2
Cuautinchán,2,2
Cuautlancingo,2,2
Cuayuca de Andrade,2,2
Cuetzalan del Progreso,2,2
Cuyoaco,2,2
Domingo Arenas,2,2
Eloxochitlán,2,2
Epatlán,2,2
Esperanza,2,2
Francisco Z. Mena,2,2
General Felipe Ángeles,2,2
Guadalupe Victoria,2,2
Guadalupe,2,2
Hermenegildo Galeana,2,2
Honey,2,2
Huaquechula,2,2
Huatlatlauca,2,2
Huauchinango,2,2
Huehuetla,2,2
Huehuetlán el Chico,2,2
Huehuetlán el Grande,2,2
Huejotzingo,2,2
Hueyapan,2,2
Hueytamalco,2,2
Hueytlalpan,2,2
Huitzilan de Serdán,2,2
Huitziltepec,2,2
Ixcamilpa de Guerrero,2,2
Ixcaquixtla,2,2
Ixtacamaxtitlán,2,2
Ixtepec,2,2
Izúcar de Matamoros,2,2
Jalpan,2,2
Jolalpan,2,2
Jonotla,2,2
Jopala,2,2
Juan C. Bonilla,2,2
Juan Galindo,2,2
Juan N. Méndez,2,2
La Magdalena Tlatlauquitepec,2,2
Lafragua,2,2
Libres,2,2
Los Reyes de Juárez,2,2
Mazapiltepec de Juárez,2,2
Mixtla,2,2
Molcaxac,2,2
Naupan,2,2
Nauzontla,2,2
Nealtican,2,2
Nicolás Bravo,2,2
Nopalucan,2,2
Ocotepec,2,2
Ocoyucan,2,2
Olintla,2,2
Oriental,2,2
Pahuatlán,2,2
Palmar de Bravo,2,2
Pantepec,2,2
Petlalcingo,2,2
Piaxtla,2,2
Puebla,2,2
Quecholac,2,2
Quimixtlán,2,2
Rafael Lara Grajales,2,2
San Andrés Cholula,2,2
San Antonio Cañada,2,2
San Diego la Mesa Tochimiltzingo,2,2
San Felipe Teotlalcingo,2,2
San Felipe Tepatlán,2,2
San Gabriel Chilac,2,2
San Gregorio Atzompa,2,2
San Jerónimo Tecuanipan,2,2
San Jerónimo Xayacatlán,2,2
San José Chiapa,2,2
San José Miahuatlán,2,2
San Juan Atenco,2,2
San Juan Atzompa,2,2
San Martín Texmelucan,2,2
San Martín Totoltepec,2,2
San Matías Tlalancaleca,2,2
San Miguel Ixitlán,2,2
San Miguel Xoxtla,2,2
San Nicolás Buenos Aires,2,2
San Nicolás de los Ranchos,2,2
San Pablo Anicano,2,2
San Pedro Cholula,2,2
San Pedro Yeloixtlahuaca,2,2
San Salvador el Seco,2,2
San Salvador el Verde,2,2
San Salvador Huixcolotla,2,2
San Sebastián Tlacotepec,2,2
Santa Catarina Tlaltempan,2,2
Santa Inés Ahuatempan,2,2
Santa Isabel Cholula,2,2
Santiago Miahuatlán,2,2
Santo Tomás Hueyotlipan,2,2
Soltepec,2,2
Tecali de Herrera,2,2
Tecamachalco,2,2
Tecomatlán,2,2
Tehuacán,2,2
Tehuitzingo,2,2
Tenampulco,2,2
Teopantlán,2,2
Teotlalco,2,2
Tepanco de López,2,2
Tepango de Rodríguez,2,2
Tepatlaxco de Hidalgo,2,2
Tepeaca,2,2
Tepemaxalco,2,2
Tepeojuma,2,2
Tepetzintla,2,2
Tepexco,2,2
Tepexi de Rodríguez,2,2
Tepeyahualco de Cuauhtémoc,2,2
Tepeyahualco,2,2
Tetela de Ocampo,2,2
Teteles de Avila Castillo,2,2
Teziutlán,2,2
Tianguismanalco,2,2
Tilapa,2,2
Tlachichuca,2,2
Tlacotepec de Benito Juárez,2,2
Tlacuilotepec,2,2
Tlahuapan,2,2
Tlaltenango,2,2
Tlanepantla,2,2
Tlaola,2,2
Tlapacoya,2,2
Tlapanalá,2,2
Tlatlauquitepec,2,2
Tlaxco,2,2
Tochimilco,2,2
Tochtepec,2,2
Totoltepec de Guerrero,2,2
Tulcingo,2,2
Tuzamapan de Galeana,2,2
Tzicatlacoyan,2,2
Venustiano Carranza,2,2
Vicente Guerrero,2,2
Xayacatlán de Bravo,2,2
Xicotepec,2,2
Xicotlán,2,2
Xiutetelco,2,2
Xochiapulco,2,2
Xochiltepec,2,2
Xochitlán de Vicente Suárez,2,2
Xochitlán Todos Santos,2,2
Yaonáhuac,2,2
Yehualtepec,2,2
Zacapala,2,2
Zacapoaxtla,2,2
Zacatlán,2,2
Zapotitlán de Méndez,2,2
Zapotitlán,2,2
Zaragoza,2,2
Zautla,2,2
Zihuateutla,2,2
Zinacatepec,2,2
Zongozotla,2,2
Zoquiapan,2,2
Zoquitlán,2,2
