Value,Disaggregation combinations using this value,Number of indicators
Ahualulco,2,2
Alaquines,2,2
Aquismón,2,2
Armadillo de los Infante,2,2
Axtla de Terrazas,2,2
Catorce,2,2
Cedral,2,2
Cerritos,2,2
Cerro de San Pedro,2,2
Charcas,2,2
Ciudad del Maíz,2,2
Ciudad Fernández,2,2
Ciudad Valles,2,2
Coxcatlán,2,2
Cárdenas,2,2
Ebano,2,2
El Naranjo,2,2
Guadalcázar,2,2
Huehuetlán,2,2
Lagunillas,2,2
Matehuala,2,2
Matlapa,2,2
Mexquitic de Carmona,2,2
Moctezuma,2,2
Rayón,2,2
Rioverde,2,2
Salinas,2,2
San Antonio,2,2
San Ciro de Acosta,2,2
San Luis Potosí,2,2
San Martín Chalchicuautla,2,2
San Nicolás Tolentino,2,2
San Vicente Tancuayalab,2,2
Santa Catarina,2,2
Santa María del Río,2,2
Santo Domingo,2,2
Soledad de Graciano Sánchez,2,2
Tamasopo,2,2
Tamazunchale,2,2
Tampacán,2,2
Tampamolón Corona,2,2
Tamuín,2,2
Tancanhuitz,2,2
Tanlajás,2,2
Tanquián de Escobedo,2,2
Tierra Nueva,2,2
Vanegas,2,2
Venado,2,2
Villa de Arista,2,2
Villa de Arriaga,2,2
Villa de Guadalupe,2,2
Villa de la Paz,2,2
Villa de Ramos,2,2
Villa de Reyes,2,2
Villa Hidalgo,2,2
Villa Juárez,2,2
Xilitla,2,2
Zaragoza,2,2
