Value,Disaggregation combinations using this value,Number of indicators
Aconchi,1,1
Agua Prieta,1,1
Alamos,1,1
Altar,1,1
Arivechi,1,1
Arizpe,1,1
Atil,1,1
Bacadéhuachi,1,1
Bacanora,1,1
Bacerac,1,1
Bacoachi,1,1
Banámichi,1,1
Bavispe,1,1
Baviácora,1,1
Benito Juárez,1,1
Benjamín Hill,1,1
Bácum,1,1
Caborca,1,1
Cajeme,1,1
Cananea,1,1
Carbó,1,1
Cucurpe,1,1
Cumpas,1,1
Divisaderos,1,1
Empalme,1,1
Etchojoa,1,1
Fronteras,1,1
General Plutarco Elías Calles,1,1
Granados,1,1
Guaymas,1,1
Hermosillo,1,1
Huachinera,1,1
Huatabampo,1,1
Huásabas,1,1
Huépac,1,1
Imuris,1,1
La Colorada,1,1
Magdalena,1,1
Mazatán,1,1
Moctezuma,1,1
Naco,1,1
Nacozari de García,1,1
Navojoa,1,1
Nogales,1,1
Nácori Chico,1,1
Onavas,1,1
Opodepe,1,1
Oquitoa,1,1
Pitiquito,1,1
Puerto Peñasco,1,1
Quiriego,1,1
Rayón,1,1
Rosario,1,1
Sahuaripa,1,1
San Felipe de Jesús,1,1
San Ignacio Río Muerto,1,1
San Javier,1,1
San Luis Río Colorado,1,1
San Miguel de Horcasitas,1,1
San Pedro de la Cueva,1,1
Santa Ana,1,1
Santa Cruz,1,1
Soyopa,1,1
Suaqui Grande,1,1
Sáric,1,1
Tepache,1,1
Trincheras,1,1
Tubutama,1,1
Ures,1,1
Villa Hidalgo,1,1
Villa Pesqueira,1,1
Yécora,1,1
