Value,Disaggregation combinations using this value,Number of indicators
Abasolo,1,1
Aldama,1,1
Altamira,1,1
Antiguo Morelos,1,1
Burgos,1,1
Bustamante,1,1
Camargo,1,1
Casas,1,1
Ciudad Madero,1,1
Cruillas,1,1
El Mante,1,1
González,1,1
Guerrero,1,1
Gustavo Díaz Ordaz,1,1
Gómez Farías,1,1
Güémez,1,1
Hidalgo,1,1
Jaumave,1,1
Jiménez,1,1
Llera,1,1
Mainero,1,1
Matamoros,1,1
Mier,1,1
Miguel Alemán,1,1
Miquihuana,1,1
Méndez,1,1
Nuevo Laredo,1,1
Nuevo Morelos,1,1
Ocampo,1,1
Padilla,1,1
Palmillas,1,1
Reynosa,1,1
Río Bravo,1,1
San Carlos,1,1
San Fernando,1,1
San Nicolás,1,1
Soto la Marina,1,1
Tampico,1,1
Tula,1,1
Valle Hermoso,1,1
Victoria,1,1
Villagrán,1,1
Xicoténcatl,1,1
