Value,Disaggregation combinations using this value,Number of indicators
Acuamanala de Miguel Hidalgo,2,2
Amaxac de Guerrero,2,2
Apetatitlán de Antonio Carvajal,2,2
Apizaco,2,2
Atlangatepec,2,2
Atltzayanca,2,2
Benito Juárez,2,2
Calpulalpan,2,2
Chiautempan,2,2
Contla de Juan Cuamatzi,2,2
Cuapiaxtla,2,2
Cuaxomulco,2,2
El Carmen Tequexquitla,2,2
Emiliano Zapata,2,2
Españita,2,2
Huamantla,2,2
Hueyotlipan,2,2
Ixtacuixtla de Mariano Matamoros,2,2
Ixtenco,2,2
La Magdalena Tlaltelulco,2,2
Lázaro Cárdenas,2,2
Mazatecochco de José María Morelos,2,2
Muñoz de Domingo Arenas,2,2
Nanacamilpa de Mariano Arista,2,2
Natívitas,2,2
Panotla,2,2
Papalotla de Xicohténcatl,2,2
San Damián Texóloc,2,2
San Francisco Tetlanohcan,2,2
San Jerónimo Zacualpan,2,2
San José Teacalco,2,2
San Juan Huactzinco,2,2
San Lorenzo Axocomanitla,2,2
San Lucas Tecopilco,2,2
San Pablo del Monte,2,2
Sanctórum de Lázaro Cárdenas,2,2
Santa Ana Nopalucan,2,2
Santa Apolonia Teacalco,2,2
Santa Catarina Ayometla,2,2
Santa Cruz Quilehtla,2,2
Santa Cruz Tlaxcala,2,2
Santa Isabel Xiloxoxtla,2,2
Tenancingo,2,2
Teolocholco,2,2
Tepetitla de Lardizábal,2,2
Tepeyanco,2,2
Terrenate,2,2
Tetla de la Solidaridad,2,2
Tetlatlahuca,2,2
Tlaxcala,2,2
Tlaxco,2,2
Tocatlán,2,2
Totolac,2,2
Tzompantepec,2,2
Xaloztoc,2,2
Xaltocan,2,2
Xicohtzinco,2,2
Yauhquemehcan,2,2
Zacatelco,2,2
Ziltlaltépec de Trinidad Sánchez Santos,2,2
