Value,Disaggregation combinations using this value,Number of indicators
Acajete,1,1
Acatlán,1,1
Acayucan,1,1
Actopan,1,1
Acula,1,1
Acultzingo,1,1
Agua Dulce,1,1
Alpatláhuac,1,1
Alto Lucero de Gutiérrez Barrios,1,1
Altotonga,1,1
Alvarado,1,1
Amatitlán,1,1
Amatlán de los Reyes,1,1
Angel R. Cabada,1,1
Apazapan,1,1
Aquila,1,1
Astacinga,1,1
Atlahuilco,1,1
Atoyac,1,1
Atzacan,1,1
Atzalan,1,1
Ayahualulco,1,1
Banderilla,1,1
Benito Juárez,1,1
Boca del Río,1,1
Calcahualco,1,1
Camarón de Tejeda,1,1
Camerino Z. Mendoza,1,1
Carlos A. Carrillo,1,1
Carrillo Puerto,1,1
Castillo de Teayo,1,1
Catemaco,1,1
Cazones de Herrera,1,1
Cerro Azul,1,1
Chacaltianguis,1,1
Chalma,1,1
Chiconamel,1,1
Chiconquiaco,1,1
Chicontepec,1,1
Chinameca,1,1
Chinampa de Gorostiza,1,1
Chocamán,1,1
Chontla,1,1
Chumatlán,1,1
Citlaltépetl,1,1
Coacoatzintla,1,1
Coahuitlán,1,1
Coatepec,1,1
Coatzacoalcos,1,1
Coatzintla,1,1
Coetzala,1,1
Colipa,1,1
Comapa,1,1
Cosamaloapan de Carpio,1,1
Cosautlán de Carvajal,1,1
Coscomatepec,1,1
Cosoleacaque,1,1
Cotaxtla,1,1
Coxquihui,1,1
Coyutla,1,1
Cuichapa,1,1
Cuitláhuac,1,1
Córdoba,1,1
El Higo,1,1
Emiliano Zapata,1,1
Espinal,1,1
Filomeno Mata,1,1
Fortín,1,1
Gutiérrez Zamora,1,1
Hidalgotitlán,1,1
Huatusco,1,1
Huayacocotla,1,1
Hueyapan de Ocampo,1,1
Huiloapan de Cuauhtémoc,1,1
Ignacio de la Llave,1,1
Ilamatlán,1,1
Isla,1,1
Ixcatepec,1,1
Ixhuacán de los Reyes,1,1
Ixhuatlancillo,1,1
Ixhuatlán de Madero,1,1
Ixhuatlán del Café,1,1
Ixhuatlán del Sureste,1,1
Ixmatlahuacan,1,1
Ixtaczoquitlán,1,1
Jalacingo,1,1
Jalcomulco,1,1
Jamapa,1,1
Jesús Carranza,1,1
Jilotepec,1,1
José Azueta,1,1
Juan Rodríguez Clara,1,1
Juchique de Ferrer,1,1
Jáltipan,1,1
La Antigua,1,1
La Perla,1,1
Landero y Coss,1,1
Las Choapas,1,1
Las Minas,1,1
Las Vigas de Ramírez,1,1
Lerdo de Tejada,1,1
Los Reyes,1,1
Magdalena,1,1
Maltrata,1,1
Manlio Fabio Altamirano,1,1
Mariano Escobedo,1,1
Martínez de la Torre,1,1
Mecatlán,1,1
Mecayapan,1,1
Medellín de Bravo,1,1
Miahuatlán,1,1
Minatitlán,1,1
Misantla,1,1
Mixtla de Altamirano,1,1
Moloacán,1,1
Nanchital de Lázaro Cárdenas del Río,1,1
Naolinco,1,1
Naranjal,1,1
Naranjos Amatlán,1,1
Nautla,1,1
Nogales,1,1
Oluta,1,1
Omealca,1,1
Orizaba,1,1
Otatitlán,1,1
Oteapan,1,1
Ozuluama de Mascareñas,1,1
Pajapan,1,1
Papantla,1,1
Paso de Ovejas,1,1
Paso del Macho,1,1
Perote,1,1
Platón Sánchez,1,1
Playa Vicente,1,1
Poza Rica de Hidalgo,1,1
Pueblo Viejo,1,1
Puente Nacional,1,1
Pánuco,1,1
Rafael Delgado,1,1
Rafael Lucio,1,1
Río Blanco,1,1
Saltabarranca,1,1
San Andrés Tenejapan,1,1
San Andrés Tuxtla,1,1
San Juan Evangelista,1,1
San Rafael,1,1
Santiago Sochiapan,1,1
Santiago Tuxtla,1,1
Sayula de Alemán,1,1
Sochiapa,1,1
Soconusco,1,1
Soledad Atzompa,1,1
Soledad de Doblado,1,1
Soteapan,1,1
Tamalín,1,1
Tamiahua,1,1
Tampico Alto,1,1
Tancoco,1,1
Tantima,1,1
Tantoyuca,1,1
Tatahuicapan de Juárez,1,1
Tatatila,1,1
Tecolutla,1,1
Tehuipango,1,1
Tempoal,1,1
Tenampa,1,1
Tenochtitlán,1,1
Teocelo,1,1
Tepatlaxco,1,1
Tepetlán,1,1
Tepetzintla,1,1
Tequila,1,1
Texcatepec,1,1
Texhuacán,1,1
Texistepec,1,1
Tezonapa,1,1
Tierra Blanca,1,1
Tihuatlán,1,1
Tlachichilco,1,1
Tlacojalpan,1,1
Tlacolulan,1,1
Tlacotalpan,1,1
Tlacotepec de Mejía,1,1
Tlalixcoyan,1,1
Tlalnelhuayocan,1,1
Tlaltetela,1,1
Tlapacoyan,1,1
Tlaquilpa,1,1
Tlilapan,1,1
Tomatlán,1,1
Tonayán,1,1
Totutla,1,1
Tres Valles,1,1
Tuxpan,1,1
Tuxtilla,1,1
Ursulo Galván,1,1
Uxpanapa,1,1
Vega de Alatorre,1,1
Veracruz,1,1
Villa Aldama,1,1
Xalapa,1,1
Xico,1,1
Xoxocotla,1,1
Yanga,1,1
Yecuatla,1,1
Zacualpan,1,1
Zaragoza,1,1
Zentla,1,1
Zongolica,1,1
Zontecomatlán de López y Fuentes,1,1
Zozocolco de Hidalgo,1,1
Álamo Temapache,1,1
