Value,Disaggregation combinations using this value,Number of indicators
Abalá,1,1
Acanceh,1,1
Akil,1,1
Baca,1,1
Bokobá,1,1
Buctzotz,1,1
Cacalchén,1,1
Calotmul,1,1
Cansahcab,1,1
Cantamayec,1,1
Celestún,1,1
Cenotillo,1,1
Chacsinkín,1,1
Chankom,1,1
Chapab,1,1
Chemax,1,1
Chichimilá,1,1
Chicxulub Pueblo,1,1
Chikindzonot,1,1
Chocholá,1,1
Chumayel,1,1
Conkal,1,1
Cuncunul,1,1
Cuzamá,1,1
Dzemul,1,1
Dzidzantún,1,1
Dzilam de Bravo,1,1
Dzilam González,1,1
Dzitás,1,1
Dzoncauich,1,1
Dzán,1,1
Espita,1,1
Halachó,1,1
Hocabá,1,1
Hoctún,1,1
Homún,1,1
Huhí,1,1
Hunucmá,1,1
Ixil,1,1
Izamal,1,1
Kanasín,1,1
Kantunil,1,1
Kaua,1,1
Kinchil,1,1
Kopomá,1,1
Mama,1,1
Maní,1,1
Maxcanú,1,1
Mayapán,1,1
Mocochá,1,1
Motul,1,1
Muna,1,1
Muxupip,1,1
Mérida,1,1
Opichén,1,1
Oxkutzcab,1,1
Panabá,1,1
Peto,1,1
Progreso,1,1
Quintana Roo,1,1
Río Lagartos,1,1
Sacalum,1,1
Samahil,1,1
San Felipe,1,1
Sanahcat,1,1
Santa Elena,1,1
Seyé,1,1
Sinanché,1,1
Sotuta,1,1
Sucilá,1,1
Sudzal,1,1
Suma,1,1
Tahdziú,1,1
Tahmek,1,1
Teabo,1,1
Tecoh,1,1
Tekal de Venegas,1,1
Tekantó,1,1
Tekax,1,1
Tekit,1,1
Tekom,1,1
Telchac Pueblo,1,1
Telchac Puerto,1,1
Temax,1,1
Temozón,1,1
Tepakán,1,1
Tetiz,1,1
Teya,1,1
Ticul,1,1
Timucuy,1,1
Tinum,1,1
Tixcacalcupul,1,1
Tixkokob,1,1
Tixmehuac,1,1
Tixpéhual,1,1
Tizimín,1,1
Tunkás,1,1
Tzucacab,1,1
Uayma,1,1
Ucú,1,1
Umán,1,1
Valladolid,1,1
Xocchel,1,1
Yaxcabá,1,1
Yaxkukul,1,1
Yobaín,1,1
