Value,Disaggregation combinations using this value,Number of indicators
Apozol,2,2
Apulco,2,2
Atolinga,2,2
Benito Juárez,2,2
Calera,2,2
Cañitas de Felipe Pescador,2,2
Chalchihuites,2,2
Concepción del Oro,2,2
Cuauhtémoc,2,2
El Plateado de Joaquín Amaro,2,2
El Salvador,2,2
Fresnillo,2,2
Genaro Codina,2,2
General Enrique Estrada,2,2
General Francisco R. Murguía,2,2
General Pánfilo Natera,2,2
Guadalupe,2,2
Huanusco,2,2
Jalpa,2,2
Jerez,2,2
Jiménez del Teul,2,2
Juan Aldama,2,2
Juchipila,2,2
Loreto,2,2
Luis Moya,2,2
Mazapil,2,2
Melchor Ocampo,2,2
Mezquital del Oro,2,2
Miguel Auza,2,2
Momax,2,2
Monte Escobedo,2,2
Morelos,2,2
Moyahua de Estrada,2,2
Nochistlán de Mejía,2,2
Noria de Ángeles,2,2
Ojocaliente,2,2
Pinos,2,2
Pánuco,2,2
Río Grande,2,2
Sain Alto,2,2
Santa María de la Paz,2,2
Sombrerete,2,2
Susticacán,2,2
Tabasco,2,2
Tepechitlán,2,2
Tepetongo,2,2
Teúl de González Ortega,2,2
Tlaltenango de Sánchez Román,2,2
Trancoso,2,2
Trinidad García de la Cadena,2,2
Valparaíso,2,2
Vetagrande,2,2
Villa de Cos,2,2
Villa García,2,2
Villa González Ortega,2,2
Villa Hidalgo,2,2
Villanueva,2,2
Zacatecas,2,2
